incident_id,number,short_description,description,category,subcategory,priority,state,assignment_group,resolution_code,resolution_notes,close_notes,opened_at,resolved_at,closed_at
1,INC0010001,VPN connection fails after firewall change,Remote users cannot establish SSL VPN sessions after a firewall policy update. Client connections time out during negotiation.,Network,VPN,1,Resolved,Network Operations,Solved (Permanently),"Restored the VPN allow rule for TCP and UDP 443, disabled TLS inspection for the VPN gateway, and verified connectivity.",VPN access restored for all tested users. Firewall change record updated.,2026-07-02T08:15:00Z,2026-07-02T09:05:00Z,2026-07-02T09:30:00Z
2,INC0010002,Outlook email delivery delayed,Users report that outbound email remains in the Outbox and inbound messages arrive 20 to 30 minutes late.,Email,Mail Flow,2,Resolved,Messaging Support,Solved (Permanently),Restarted the mail transport service and cleared the blocked connector queue.,Mail flow returned to normal and queue depth remained stable for 30 minutes.,2026-07-04T10:20:00Z,2026-07-04T11:10:00Z,2026-07-04T11:40:00Z
3,INC0010003,SAP users cannot sign in,Multiple finance users receive an authentication error when signing in to SAP after a scheduled identity synchronization.,Application,SAP Authentication,2,Resolved,Enterprise Applications,Solved (Permanently),Re-ran identity synchronization and cleared stale SAP authentication cache entries.,Affected users confirmed successful login.,2026-07-08T06:45:00Z,2026-07-08T08:00:00Z,2026-07-08T08:20:00Z
4,INC0010004,Wi-Fi disconnects in office,Wireless clients on the third floor disconnect repeatedly and reconnect after several minutes.,Network,Wireless,3,Resolved,Network Operations,Solved (Permanently),Rebooted the affected access point and changed the congested radio channel.,Wireless stability confirmed during a one-hour observation period.,2026-07-11T04:30:00Z,2026-07-11T05:40:00Z,2026-07-11T06:10:00Z
5,INC0010005,Windows laptop shows BitLocker recovery,A company laptop requests the BitLocker recovery key after a firmware update.,Hardware,Endpoint Security,3,Resolved,Desktop Support,Solved (Permanently),"Retrieved the recovery key from device management, completed startup, and suspended then resumed BitLocker protection.",Device restarted normally twice and user access was restored.,2026-07-15T09:10:00Z,2026-07-15T09:45:00Z,2026-07-15T10:00:00Z
6,INC0010006,Azure virtual machine is unresponsive,Application server VM responds to platform health checks but RDP and application ports are unavailable.,Cloud,Virtual Machine,1,Resolved,Cloud Operations,Solved (Permanently),"Restarted the VM, removed a hung monitoring process, and increased available memory.",Application health checks passed and service owner confirmed recovery.,2026-07-18T12:05:00Z,2026-07-18T12:50:00Z,2026-07-18T13:15:00Z
7,INC0010007,Shared drive access denied,Users in the Finance group receive access denied when opening the monthly reports shared folder.,Access,File Share,2,Resolved,Identity and Access,Solved (Permanently),Restored the missing Finance security group permission on the shared folder and refreshed access tokens.,Three affected users verified read and write access.,2026-07-22T07:25:00Z,2026-07-22T08:15:00Z,2026-07-22T08:30:00Z
8,INC0010008,Printer queue stuck,Documents remain in the print queue for the main office multifunction printer.,Hardware,Printing,4,Resolved,Desktop Support,Solved (Permanently),"Cleared the print spooler queue, restarted the spooler service, and reinstalled the printer driver.",Test pages printed successfully from two workstations.,2026-07-25T05:40:00Z,2026-07-25T06:05:00Z,2026-07-25T06:20:00Z
9,INC0010009,Database CPU utilization high,The customer portal database remains above 95 percent CPU and page loads are slow.,Database,Performance,1,Resolved,Database Operations,Solved (Permanently),"Terminated a runaway reporting query, added a missing index, and updated query statistics.",CPU returned below 40 percent and portal response time normalized.,2026-07-29T14:00:00Z,2026-07-29T15:25:00Z,2026-07-29T15:50:00Z
10,INC0010010,Teams microphone not detected,Microsoft Teams does not detect the headset microphone although audio playback works.,Collaboration,Teams,4,Resolved,Desktop Support,Solved (Permanently),"Enabled microphone privacy permission, selected the correct input device, and updated the audio driver.",Test call completed with clear two-way audio.,2026-08-01T09:35:00Z,2026-08-01T10:00:00Z,2026-08-01T10:15:00Z
